TripID,MonitorID,PurposeCode,PurposeJP,PurposeENG,DepartureTime,ArrivalTime,TripDurationSec,ODDistanceM,LatitudeO,LongitudeO,DistrictCodeO,DistrictNameO,Zone4codeO,Zone4nameO,Zone5codeO,Zone5nameO,LatitudeD,LongitudeD,DistrictCodeD,DistrictNameD,Zone4codeD,Zone4nameD,Zone5codeD,Zone5nameD,Age,Gender,Male,HomeLocation,MainModeCode,MainModeJP,MainModeENG,ChoiceTime,ModeAvailableCar,DistanceCar,TimeCar,ModeAvailableTrain,TimeTrain,FareTrain,DepartureStation,ArrivalStation,NumberChanges,AccessDistanceTrain,AccessTimeTrain,EgressDistanceTrain,EgressTimeTrain,TotalTimeTrain,ModeAvailableBike,DistanceBike,TimeBike,ModeAvailableWalk,DistanceWalk,TimeWalk,ModeAvailableBus,DistanceBus,TimeBus,FareBus,AcessDistanceBus,AccessTimeBus,EgressDistanceBus,EgressTimeBus,TotalTimeBus
256769,yd002,200,帰宅,Return Home,2009/11/14 19:26:59,2009/11/14 20:05:57,2338,20828.1911288127,35.63567883,139.6281677,,,,,,,35.44843913,139.6205664,103,西区,1002004,西戸部,100200401,西戸部町,44,男,1,神奈川県横浜市西区,100,自動車,Car,50.1,1,25305,50.1,1,61,660,千歳船橋,戸部,3,1630,20,1121,13.9,94.9,1,23881,119.4,1,23881,294.8,0,0,0,0,0,0,0,0,0
256843,yd027,999,その他,Other,2009/11/15 16:07:02,2009/11/15 16:13:34,392,924.584062654927,35.63110833,139.6799988,,,,,,,35.62292763,139.6818388,,,,,,,38,男,1,東京都世田谷区,410,自転車,Bicycle,6.1,1,1936,10.3,0,0,0,0,0,0,0,0,0,0,0,1,1220,6.1,1,1220,15.2,0,0,0,0,0,0,0,0,0
256812,yd022,600,食事,Meal,2009/11/15 12:27:05,2009/11/15 12:57:32,1827,2170.15005440011,35.45210838,139.6404899,104,中区,1003002,関内,100300203,新港一丁目,35.46590571,139.6235382,103,西区,1002001,高島,100200102,高島二丁目,37,男,1,神奈川県横浜市戸塚区,200,鉄道,Rail,21.5,1,3231,10.4,1,3,180,みなとみらい,横浜,0,1225,14.7,314,3.8,21.5,1,2597,13,1,2597,31.1,0,0,0,0,0,0,0,0,0
256061,yd008,200,帰宅,Return Home,2009/11/06 14:44:09,2009/11/06 15:00:48,999,1338.58271889787,35.43013577,139.6653378,104,中区,1003010,本牧,100301006,小港町,35.42544723,139.6517283,104,中区,1003012,西之谷,100301201,本牧緑ケ丘,0,女,0,神奈川県横浜市中区,100,自動車,Car,15,1,3008,15,1,24,340,元町・中華街,山手,1,2662,32.6,780,9.8,66.4,1,2051,10.3,1,2051,26.3,0,0,0,0,0,0,0,0,0
256231,yd006,500,買い物,Shopping,2009/11/08 16:07:25,2009/11/08 16:45:19,2274,3028.80399540432,35.45239812,139.5813472,106,保土ケ谷区,1005010,桜ヶ丘,100501001,花見台,35.4298461,139.5625878,110,戸塚区,1009032,東戸塚,100903201,品濃町Ｂ,0,女,0,神奈川県横浜市戸塚区,500,自動車,Car,9.9,1,6038,9.9,1,24,330,和田町,東戸塚,2,1789,20.9,651,8,52.9,1,3390,17,1,3390,42.1,0,0,0,0,0,0,0,0,0
256524,yd004,200,帰宅,Return Home,2009/11/11 20:23:53,2009/11/11 22:42:57,8344,18830.4837494399,35.42417595,139.3186087,212,厚木市,2120802,岡津古久,212080201,日産テクニカル１,35.44253829,139.5252568,116,泉区,1009326,岡津北,100932606,緑園四丁目,36,男,1,神奈川県横浜市泉区,200,鉄道,Rail,94.9,1,29088,65.9,1,50,420,愛甲石田,緑園都市,2,3054,37.1,571,7.8,94.9,1,22757,113.8,1,22757,283.1,0,0,0,0,0,0,0,0,0
255843,yd023,100,出勤,Commute,2009/11/04 07:21:18,2009/11/04 08:11:27,3009,10939.5980943399,35.4598278,139.51728,112,旭区,1005103,中希望ヶ丘,100510301,中希望が丘,35.44448563,139.6365952,104,中区,1003002,関内,100300215,真砂町,45,男,1,神奈川県横浜市旭区,200,鉄道,Rail,45.8,1,15508,36.9,1,30,400,希望ヶ丘,馬車道,1,475,5.8,837,10,45.8,1,13078,65.4,1,13078,159.1,0,0,0,0,0,0,0,0,0
256632,yd022,100,出勤,Commute,2009/11/13 07:28:51,2009/11/13 08:00:52,1921,10110.6276436068,35.40566861,139.5351649,110,戸塚区,1009029,矢部,100902901,矢部町Ａ,35.44479668,139.6359087,104,中区,1003002,関内,100300215,真砂町,37,男,1,神奈川県横浜市戸塚区,200,鉄道,Rail,35.6,1,13452,25.9,1,17,210,戸塚,桜木町,1,656,8.5,845,10.1,35.6,1,11853,59.3,1,11853,146.7,1,1.62,10,210,584,8.8,250,3.8,22.6
255777,yd005,700,娯楽,Leisure,2009/11/03 10:09:24,2009/11/03 11:19:20,4196,14499.6832809716,36.03216827,139.5337755,,,,,,,35.92110873,139.618265,,,,,,,28,男,1,神奈川県横浜市戸塚区,200,鉄道,Rail,29.6,1,15880,30.6,1,29,500,北本,鉄道博物館,1,10,0.1,38,0.5,29.6,1,15043,75.2,1,15043,183.5,0,0,0,0,0,0,0,0,0
256559,yd011,100,出勤,Commute,2009/11/12 09:17:59,2009/11/12 09:34:18,979,4273.90406264996,35.4351998,139.360478,212,厚木市,2120102,駅南,212010207,旭町５,35.44416904,139.3145961,212,厚木市,2120601,森の里東,212060102,青山１,31,男,1,神奈川県厚木市,100,自動車,Car,18.2,1,6306,18.2,1,3,150,本厚木,愛甲石田,0,600,7.6,4893,63,73.6,1,5847,29.2,1,5847,76,0,0,0,0,0,0,0,0,0
255985,yd018,200,帰宅,Return Home,2009/11/05 20:47:40,2009/11/05 22:00:37,4377,29602.1606922864,35.42446562,139.3186784,212,厚木市,2120802,岡津古久,212080201,日産テクニカル１,35.48867769,139.6359087,102,神奈川区,1001014,浦島丘,100101403,白幡仲町,54,男,1,神奈川県横浜市神奈川区,100,自動車,Car,77.6,1,40995,77.6,1,61,680,愛甲石田,白楽,2,3045,37,1165,14,112,1,34304,171.5,1,34304,429.9,0,0,0,0,0,0,0,0,0
256514,yd010,200,帰宅,Return Home,2009/11/11 18:43:03,2009/11/11 20:39:53,7010,37144.8789489045,35.42601588,139.3202556,212,厚木市,2120802,岡津古久,212080201,日産テクニカル１,35.25567955,139.6726067,201,横須賀市,2010407,公郷,201040703,公郷３丁目,36,男,1,神奈川県横須賀市,100,自動車,Car,102.7,1,49705,102.7,1,96,970,愛甲石田,衣笠,5,2824,33.9,1274,15.3,145.2,1,43424,217.1,1,43424,535.9,0,0,0,0,0,0,0,0,0
256996,yd030,200,帰宅,Return Home,2009/11/16 23:01:41,2009/11/17 01:35:30,9229,14183.9261605818,35.44151902,139.3143279,212,厚木市,2120601,森の里東,212060101,若宮Ａ,35.53516566,139.4207365,209,相模原市,2090407,若松,209040706,若松６丁目,39,男,1,神奈川県相模原市,200,鉄道,Rail,125.9,1,19581,50.9,1,36,400,愛甲石田,古淵,1,4635,55.6,2821,34.3,125.9,1,17488,87.4,1,17488,220.2,0,0,0,0,0,0,0,0,0
258021,yd008,999,その他,Other,2009/11/27 18:19:34,2009/11/27 18:35:56,982,1817.24536525693,35.42953497,139.6620172,104,中区,1003010,本牧,100301003,本牧町Ａ,35.43879929,139.6454895,104,中区,1003017,山手,100301701,元町,0,女,0,神奈川県横浜市中区,410,自転車,Bicycle,10.6,1,2125,7.4,1,21,340,元町・中華街,石川町,1,2157,27,302,3.6,51.6,1,2121,10.6,1,2121,26.4,1,1.83,9,210,228,3.4,199,3,15.4
257573,yd018,500,買い物,Shopping,2009/11/22 15:21:26,2009/11/22 15:32:53,687,1721.69626408717,35.50498547,139.6257485,109,港北区,1008040,富士塚,100804001,富士塚二丁目,35.50058666,139.6439875,102,神奈川区,1001001,西寺尾,100100101,西寺尾一丁目,54,男,1,神奈川県横浜市神奈川区,100,自動車,Car,11.8,1,2241,11.8,1,12,230,新横浜,妙蓮寺,1,1089,13.4,1384,16.5,41.9,1,1993,10,1,1993,23.7,1,3.1,12,210,568,8.5,215,3.2,23.7
256738,yd023,800,散歩･回遊,Leisure Walk,2009/11/14 14:40:03,2009/11/14 15:50:03,4200,125.463493477705,35.45937725,139.5169259,112,旭区,1005103,中希望ヶ丘,100510301,中希望が丘,35.46047693,139.517237,112,旭区,1005121,東希望ヶ丘,100512101,東希望が丘,45,男,1,神奈川県横浜市旭区,420,徒歩,Walk,7.9,1,1340,7.6,0,0,0,0,0,0,0,0,0,0,0,1,641,3.2,1,641,7.9,0,0,0,0,0,0,0,0,0
256373,yd018,200,帰宅,Return Home,2009/11/09 21:40:50,2009/11/09 22:41:44,3654,29638.7424545176,35.42407935,139.3184477,212,厚木市,2120802,岡津古久,212080201,日産テクニカル１,35.4885972,139.6359999,102,神奈川区,1001014,浦島丘,100101403,白幡仲町,54,男,1,神奈川県横浜市神奈川区,100,自動車,Car,77.6,1,41006,77.6,1,61,680,愛甲石田,白楽,2,3068,37.3,1177,14.1,112.4,1,34315,171.6,1,34315,430.1,0,0,0,0,0,0,0,0,0
257313,yd002,100,出勤,Commute,2009/11/20 06:20:18,2009/11/20 07:16:10,3352,27612.9412172394,35.44911507,139.6214194,103,西区,1002004,西戸部,100200401,西戸部町,35.42462649,139.3180669,212,厚木市,2120802,岡津古久,212080201,日産テクニカル１,44,男,1,神奈川県横浜市西区,100,自動車,Car,73.6,1,37594,73.6,1,63,580,戸部,愛甲石田,2,1098,13,3081,38.6,114.6,1,32650,163.3,1,32650,404.1,0,0,0,0,0,0,0,0,0
257169,yd017,200,帰宅,Return Home,2009/11/18 18:24:21,2009/11/18 18:43:00,1119,3968.27406537091,35.4650796,139.6237261,103,西区,1002001,高島,100200102,高島二丁目,35.43553769,139.6483166,104,中区,1003017,山手,100301703,山手町,47,男,1,神奈川県横浜市中区,200,鉄道,Rail,23.5,1,6713,22.9,1,8,150,横浜,石川町,0,327,3.9,962,11.6,23.5,1,4532,22.7,1,4532,54.5,0,0,0,0,0,0,0,0,0
255492,yd029,200,帰宅,Return Home,2009/10/31 11:45:03,2009/10/31 12:04:45,1182,759.331707788993,35.42334978,139.6646297,104,中区,1003011,新本牧,100301111,本牧原Ｂ,35.43002843,139.6628755,104,中区,1003010,本牧,100301006,小港町,50,女,0,神奈川県横浜市中区,410,自転車,Bicycle,5.2,1,1150,5.7,1,19,210,山手,元町・中華街,0,2561,31.2,2132,26,76.2,1,1037,5.2,1,1037,12.9,1,0.58,2,210,362,5.4,354,5.3,12.7
257194,yd017,999,その他,Other,2009/11/18 20:59:45,2009/11/18 21:21:23,1298,4524.92370036395,35.43564498,139.6485258,104,中区,1003017,山手,100301703,山手町,35.46935499,139.6205288,102,神奈川区,1001021,鶴屋,100102102,鶴屋町,47,男,1,神奈川県横浜市中区,100,自動車,Car,23.1,1,6887,23.1,1,16,360,石川町,三ッ沢下町,1,984,11.9,1244,15.9,43.8,1,5267,26.3,1,5267,63.3,0,0,0,0,0,0,0,0,0
256199,yd027,500,買い物,Shopping,2009/11/08 11:30:07,2009/11/08 11:46:42,995,1906.88835678881,35.52151866,139.7324896,131,川崎区,1300102,塩浜,130010202,池上新町３丁目,35.53334713,139.7172279,131,川崎区,1300109,港町,130010902,港町Ａ,38,男,1,東京都世田谷区,100,自動車,Car,16.5,1,6352,16.5,1,2,130,川崎大師,港町,0,1950,24.7,604,7.1,33.8,1,2376,11.9,1,2376,29.7,0,0,0,0,0,0,0,0,0
257188,yd027,200,帰宅,Return Home,2009/11/18 20:26:57,2009/11/18 20:37:25,628,506.119283687028,35.62882846,139.6850199,,,,,,,35.63084545,139.6799988,,,,,,,38,男,1,東京都世田谷区,420,徒歩,Walk,7.1,1,820,6,0,0,0,0,0,0,12,0.2,599,7.2,0,1,588,2.9,1,588,7.1,0,0,0,0,0,0,0,0,0
255413,yd028,500,買い物,Shopping,2009/10/30 17:30:40,2009/10/30 18:03:47,1987,1795.65836704328,35.45004846,139.6325988,104,中区,1003001,野毛,100300102,桜木町Ａ,35.46493474,139.6249062,103,西区,1002001,高島,100200102,高島二丁目,37,男,1,神奈川県横浜市旭区,700,自転車,Bicycle,9.7,1,2732,7.7,1,3,130,桜木町,横浜,0,264,3.2,507,6.2,12.4,1,1940,9.7,1,1940,23.3,0,0,0,0,0,0,0,0,0
257761,yd002,999,その他,Other,2009/11/25 06:38:44,2009/11/25 06:45:48,424,1354.55959689927,35.44964611,139.6214086,103,西区,1002004,西戸部,100200401,西戸部町,35.4572583,139.633087,103,西区,1002002,みなとみらい,100200206,みなとみらい三丁目,44,男,1,神奈川県横浜市西区,100,自動車,Car,12.7,1,2113,12.7,1,18,290,戸部,新高島,1,1046,12.4,928,11.1,41.5,1,1680,8.4,1,1680,19.7,1,3.55,15,210,379,5.7,276,4.1,24.8
256112,yd025,500,買い物,Shopping,2009/11/07 10:00:22,2009/11/07 10:17:05,1003,1783.71257065446,35.3667498,139.5712567,115,栄区,1009248,上郷,100924801,上郷町Ａ,35.36840738,139.5516873,115,栄区,1009242,小菅ヶ谷,100924201,小菅ヶ谷三丁目,39,女,0,神奈川県横浜市栄区,100,自動車,Car,11.3,1,3139,11.3,1,3,130,港南台,本郷台,0,1298,16.6,651,8.1,27.7,1,2278,11.4,1,2278,28,0,0,0,0,0,0,0,0,0
257964,yd024,100,出勤,Commute,2009/11/27 07:00:50,2009/11/27 08:37:43,5813,19625.3007427376,35.61495602,139.580505,135,多摩区,1300502,宿河原,130050207,宿河原４丁目Ａ,35.44431924,139.6360481,104,中区,1003002,関内,100300216,港町,40,男,1,神奈川県川崎市多摩区,200,鉄道,Rail,58.1,1,28987,54.9,1,46,450,宿河原,桜木町,1,147,1.7,866,10.4,58.1,1,23025,115.1,1,23025,284.4,0,0,0,0,0,0,0,0,0
256672,yd011,200,帰宅,Return Home,2009/11/13 18:54:37,2009/11/13 19:13:22,1125,4289.29828359803,35.44414764,139.3145585,212,厚木市,2120601,森の里東,212060102,青山１,35.43642828,139.3609554,212,厚木市,2120101,駅北,212010115,中町４,31,男,1,神奈川県厚木市,100,自動車,Car,20.4,1,5995,20.4,1,3,150,愛甲石田,本厚木,0,4925,58.6,453,5.5,67.1,1,5834,29.2,1,5834,71.5,0,0,0,0,0,0,0,0,0
255814,yd006,200,帰宅,Return Home,2009/11/03 17:26:48,2009/11/03 18:05:42,2334,445.795827688226,35.43094576,139.5555658,110,戸塚区,1009032,東戸塚,100903202,川上町Ｃ,35.42693859,139.5553887,110,戸塚区,1009034,柏尾,100903403,前田町,0,女,0,神奈川県横浜市戸塚区,420,徒歩,Walk,9.4,1,1629,6.5,0,0,0,0,0,0,212,2.5,707,9.6,0,1,708,3.5,1,708,9.4,0,0,0,0,0,0,0,0,0
255986,yd011,200,帰宅,Return Home,2009/11/05 21:01:53,2009/11/05 21:21:41,1188,4303.11902141099,35.44438901,139.3145585,212,厚木市,2120601,森の里東,212060102,青山１,35.43581664,139.3608856,212,厚木市,2120102,駅南,212010203,旭町１,31,男,1,神奈川県厚木市,100,自動車,Car,20.7,1,6034,20.7,1,3,150,愛甲石田,本厚木,0,4946,58.8,487,5.9,67.7,1,5809,29,1,5809,71.3,0,0,0,0,0,0,0,0,0
257300,yd002,200,帰宅,Return Home,2009/11/19 19:50:03,2009/11/19 20:30:23,2420,24363.9082754823,35.66588587,139.6608049,,,,,,,35.44908827,139.6214891,103,西区,1002004,西戸部,100200401,西戸部町,44,男,1,神奈川県横浜市西区,100,自動車,Car,56.7,1,30334,56.7,1,53,800,代田橋,戸部,2,800,10.1,1087,13,76.1,1,26880,134.4,1,26880,333,0,0,0,0,0,0,0,0,0
257197,yd005,200,帰宅,Return Home,2009/11/18 21:52:31,2009/11/18 22:23:28,1857,7690.46266333338,35.46484891,139.6229964,103,西区,1002001,高島,100200102,高島二丁目,35.42484648,139.5537257,110,戸塚区,1009034,柏尾,100903403,前田町,28,男,1,神奈川県横浜市戸塚区,200,鉄道,Rail,23.4,1,10731,21.5,1,7,160,横浜,東戸塚,0,330,4,1020,12.4,23.4,1,9234,46.2,1,9234,115.4,0,0,0,0,0,0,0,0,0
255583,yd024,200,帰宅,Return Home,2009/11/01 11:37:49,2009/11/01 11:42:15,266,270.706110180287,35.61404948,139.5787185,135,多摩区,1300502,宿河原,130050206,宿河原３丁目,35.61643664,139.5793087,135,多摩区,1300502,宿河原,130050207,宿河原４丁目Ａ,40,男,1,神奈川県川崎市多摩区,420,徒歩,Walk,4.4,1,661,3.6,1,1,130,宿河原,登戸,0,251,3,1094,13.3,17.3,1,370,1.9,1,370,4.4,0,0,0,0,0,0,0,0,0
255300,yd011,100,出勤,Commute,2009/10/29 09:03:57,2009/10/29 09:24:37,1240,4188.46227483886,35.43544658,139.3610198,212,厚木市,2120102,駅南,212010207,旭町５,35.4438258,139.3159372,212,厚木市,2120601,森の里東,212060102,青山１,31,男,1,神奈川県厚木市,100,自動車,Car,16.9,1,5195,16.9,1,3,150,本厚木,愛甲石田,0,484,6,5064,64.8,73.8,1,5130,25.7,1,5130,66.9,0,0,0,0,0,0,0,0,0
257820,yd013,200,帰宅,Return Home,2009/11/25 15:07:28,2009/11/25 17:26:51,8363,1467.31665190818,35.45751577,139.6327651,103,西区,1002002,みなとみらい,100200206,みなとみらい三丁目,35.45915731,139.6166879,103,西区,1002005,平沼,100200504,平沼二丁目,0,女,0,神奈川県横浜市西区,410,自転車,Bicycle,9.7,1,2143,11,1,12,300,新高島,平沼橋,1,872,10.5,121,1.6,24.1,1,1949,9.7,1,1949,23.4,0,0,0,0,0,0,0,0,0
255788,yd025,200,帰宅,Return Home,2009/11/03 11:31:56,2009/11/03 11:58:00,1564,5651.00564112843,35.40928966,139.5374877,110,戸塚区,1009035,吉田,100903501,吉田町Ｂ,35.36661572,139.5713586,115,栄区,1009248,上郷,100924801,上郷町Ａ,39,女,0,神奈川県横浜市栄区,100,自動車,Car,27.7,1,9833,27.7,1,17,210,戸塚,港南台,1,1155,14.4,1331,16.5,47.9,1,7357,36.8,1,7357,93.2,0,0,0,0,0,0,0,0,0
257730,yd013,500,買い物,Shopping,2009/11/24 16:34:46,2009/11/24 17:09:18,2072,1105.17627460116,35.45933966,139.6147299,103,西区,1002008,岡野,100200801,西平沼町,35.45434541,139.6041781,106,保土ケ谷区,1005012,天王寺,100501203,天王町,0,女,0,神奈川県横浜市西区,100,自動車,Car,6.9,1,1513,6.9,1,3,140,平沼橋,天王町,0,307,3.7,181,2.1,8.8,1,1223,6.1,1,1223,15.3,1,0.8,2,210,415,6.2,119,1.8,10
256564,yd021,100,出勤,Commute,2009/11/12 10:35:09,2009/11/12 11:09:26,2057,11719.4721281087,35.3667659,139.5484954,115,栄区,1009242,小菅ヶ谷,100924209,小菅ヶ谷一丁目,35.44394919,139.6365792,104,中区,1003002,関内,100300216,港町,46,男,1,神奈川県茅ヶ崎市,200,鉄道,Rail,26.3,1,18918,36.6,1,20,290,本郷台,関内,0,171,2.3,333,4,26.3,1,12952,64.8,1,12952,161.2,0,0,0,0,0,0,0,0,0
255975,yd002,600,食事,Meal,2009/11/05 19:09:35,2009/11/05 20:09:19,3584,13647.9802100686,35.44643822,139.315787,212,厚木市,2120601,森の里東,212060103,青山２,35.48500839,139.4588774,213,大和市,2130302,中央森林東,213030201,中央森林東１北,44,男,1,神奈川県横浜市西区,100,自動車,Car,34.1,1,16851,34.1,1,33,270,愛甲石田,鶴間,1,5093,62.6,1261,15.2,110.8,1,15460,77.3,1,15460,190.7,0,0,0,0,0,0,0,0,0
257684,yd025,400,業務,Work,2009/11/24 07:40:00,2009/11/24 08:23:10,2590,10437.6466323176,35.36619728,139.5720399,115,栄区,1009248,上郷,100924801,上郷町Ａ,35.44394919,139.6365953,104,中区,1003002,関内,100300216,港町,39,女,0,神奈川県横浜市栄区,200,鉄道,Rail,40,1,13872,36.4,1,18,210,港南台,関内,0,1421,18,334,4,40,1,11595,58,1,11595,143.2,0,0,0,0,0,0,0,0,0
257470,yd021,200,帰宅,Return Home,2009/11/21 11:37:27,2009/11/21 12:01:56,1469,588.693802445435,35.33024493,139.4065798,207,茅ヶ崎市,2070503,北口,100301701,元町,35.32567978,139.4098681,207,茅ヶ崎市,2070202,東海岸北,207020202,東海岸北二丁目,46,男,1,神奈川県茅ヶ崎市,420,徒歩,Walk,10,1,779,4.2,0,0,0,0,0,0,120,1.4,815,9.8,0,1,837,4.2,1,837,10,0,0,0,0,0,0,0,0,0
257101,yd027,100,出勤,Commute,2009/11/18 07:15:35,2009/11/18 08:20:29,3894,21111.6194084694,35.63091525,139.6801865,,,,,,,35.44405641,139.6386499,104,中区,1003002,関内,100300214,尾上町,38,男,1,東京都世田谷区,200,鉄道,Rail,52.3,1,26611,49.2,1,33,420,学芸大学,馬車道,2,590,7.6,979,11.7,52.3,1,23967,119.8,1,23967,296.3,0,0,0,0,0,0,0,0,0
256464,yd002,100,出勤,Commute,2009/11/11 06:22:23,2009/11/11 07:20:33,3490,27828.1049347081,35.4497052,139.621237,103,西区,1002004,西戸部,100200401,西戸部町,35.44499524,139.3140382,212,厚木市,2120601,森の里東,212060102,青山１,44,男,1,神奈川県横浜市西区,100,自動車,Car,73.5,1,37513,73.5,1,63,580,戸部,愛甲石田,2,1035,12.3,4975,64.2,139.5,1,32924,164.6,1,32924,413.4,0,0,0,0,0,0,0,0,0
256093,yd018,200,帰宅,Return Home,2009/11/06 21:16:13,2009/11/06 22:25:31,4158,29585.859202815,35.42402567,139.3188877,212,厚木市,2120802,岡津古久,212080201,日産テクニカル１,35.48864549,139.6358067,102,神奈川区,1001014,浦島丘,100101403,白幡仲町,54,男,1,神奈川県横浜市神奈川区,100,自動車,Car,77.6,1,40997,77.6,1,61,680,愛甲石田,白楽,2,3045,37,1163,14,112,1,34306,171.5,1,34306,429.9,0,0,0,0,0,0,0,0,0
